date	close
1985-10-01	2.378551
1985-10-02	2.350659
1985-10-03	2.351613
1985-10-04	2.334751
1985-10-07	2.294981
1985-10-08	2.272922
1985-10-09	2.304102
1985-10-10	2.321176
1985-10-11	2.355431
1985-10-14	2.400716
1985-10-15	2.404852
1985-10-16	2.424684
1985-10-17	2.433698
1985-10-18	2.424790
1985-10-21	2.411215
1985-10-22	2.427335
1985-10-23	2.440592
1985-10-24	2.449500
1985-10-25	2.416093
1985-10-28	2.414184
1985-10-29	2.447697
1985-10-30	2.455545
1985-10-31	2.449394
1985-11-01	2.466256
1985-11-04	2.461272
1985-11-05	2.469756
1985-11-06	2.489694
1985-11-07	2.494785
1985-11-08	2.529570
1985-11-11	2.553750
1985-11-12	2.583869
1985-11-13	2.569976
1985-11-14	2.584187
1985-11-15	2.591399
1985-11-18	2.586732
1985-11-19	2.599777
1985-11-20	2.591929
1985-11-21	2.621836
1985-11-22	2.629471
1985-11-25	2.611761
1985-11-26	2.629047
1985-11-27	2.667650
1985-11-29	2.673801
1985-12-02	2.655242
1985-12-03	2.656197
1985-12-04	2.713677
1985-12-05	2.724707
1985-12-06	2.692785
1985-12-09	2.704027
1985-12-10	2.714420
1985-12-11	2.739978
1985-12-12	2.752387
1985-12-13	2.802443
1985-12-16	2.812731
1985-12-17	2.789929
1985-12-18	2.781551
1985-12-19	2.798201
1985-12-20	2.805307
1985-12-23	2.772749
1985-12-24	2.758007
1985-12-26	2.764689
1985-12-27	2.788869
1985-12-30	2.798626
1985-12-31	2.806049
1986-01-02	2.783990
1986-01-03	2.769037
1986-01-06	2.764901
1986-01-07	2.816548
1986-01-08	2.781975
1986-01-09	2.731918
1986-01-10	2.748144
1986-01-13	2.738175
1986-01-14	2.739978
1986-01-15	2.789929
1986-01-16	2.822275
1986-01-17	2.816124
1986-01-20	2.791414
1986-01-21	2.780490
1986-01-22	2.749205
1986-01-23	2.741887
1986-01-24	2.761613
1986-01-27	2.774233
1986-01-28	2.799580
1986-01-29	2.822275
1986-01-30	2.803822
1986-01-31	2.819412
1986-02-03	2.847304
1986-02-04	2.854940
1986-02-05	2.878589
1986-02-06	2.898209
1986-02-07	2.914753
1986-02-10	2.929707
1986-02-11	2.932570
1986-02-12	2.941160
1986-02-13	2.951766
1986-02-14	2.972870
1986-02-18	2.985066
1986-02-19	2.961841
1986-02-20	2.968310
1986-02-21	2.993763
1986-02-24	2.973719
1986-02-25	2.956750
1986-02-26	2.945615
1986-02-27	2.980612
1986-02-28	2.978491
1986-03-03	2.963962
1986-03-04	2.981036
1986-03-05	2.974673
1986-03-06	2.986445
1986-03-07	2.984536
1986-03-10	3.021124
1986-03-11	3.082847
1986-03-12	3.109890
1986-03-13	3.118162
1986-03-14	3.117950
1986-03-17	3.104482
1986-03-18	3.131207
1986-03-19	3.128025
1986-03-20	3.134919
1986-03-21	3.139267
1986-03-24	3.119859
1986-03-25	3.128237
1986-03-26	3.123359
1986-03-27	3.147115
1986-03-31	3.157402
1986-04-01	3.148706
1986-04-02	3.158675
1986-04-03	3.154220
1986-04-04	3.118693
1986-04-07	3.097906
1986-04-08	3.158887
1986-04-09	3.161538
1986-04-10	3.219019
1986-04-11	3.238108
1986-04-14	3.264833
1986-04-15	3.285938
1986-04-16	3.370250
1986-04-17	3.373643
1986-04-18	3.344055
1986-04-21	3.362402
1986-04-22	3.348297
1986-04-23	3.339813
1986-04-24	3.390612
1986-04-25	3.403444
1986-04-28	3.391566
1986-04-29	3.356569
1986-04-30	3.285726
1986-05-01	3.270772
1986-05-02	3.287847
1986-05-05	3.333025
1986-05-06	3.332707
1986-05-07	3.314254
1986-05-08	3.333450
1986-05-09	3.349463
1986-05-12	3.345964
1986-05-13	3.331116
1986-05-14	3.330162
1986-05-15	3.303861
1986-05-16	3.287529
1986-05-19	3.294210
1986-05-20	3.330268
1986-05-21	3.339388
1986-05-22	3.385840
1986-05-23	3.397187
1986-05-27	3.418610
1986-05-28	3.421367
1986-05-29	3.428048
1986-05-30	3.460713
1986-06-02	3.436745
1986-06-03	3.438442
1986-06-04	3.432397
1986-06-05	3.443744
1986-06-06	3.433669
1986-06-09	3.364205
1986-06-10	3.353493
1986-06-11	3.394430
1986-06-12	3.401429
1986-06-13	3.443638
1986-06-16	3.410656
1986-06-17	3.363462
1986-06-18	3.361447
1986-06-19	3.378416
1986-06-20	3.384885
1986-06-23	3.384249
1986-06-24	3.410656
1986-06-25	3.436108
1986-06-26	3.430170
1986-06-27	3.427943
1986-06-30	3.449153
1986-07-01	3.464212
1986-07-02	3.477681
1986-07-03	3.489453
1986-07-07	3.343312
1986-07-08	3.250728
1986-07-09	3.296331
1986-07-10	3.272575
1986-07-11	3.242138
1986-07-14	3.166416
1986-07-15	3.102149
1986-07-16	3.126329
1986-07-17	3.149024
1986-07-18	3.134070
1986-07-21	3.119541
1986-07-22	3.126541
1986-07-23	3.121662
1986-07-24	3.123889
1986-07-25	3.144675
1986-07-28	3.086241
1986-07-29	3.058667
1986-07-30	3.065348
1986-07-31	3.069272
1986-08-01	3.058349
1986-08-04	3.023033
1986-08-05	3.008928
1986-08-06	2.981036
1986-08-07	2.984218
1986-08-08	3.018155
1986-08-11	3.084862
1986-08-12	3.119223
1986-08-13	3.156872
1986-08-14	3.181476
1986-08-15	3.172567
1986-08-18	3.161856
1986-08-19	3.151781
1986-08-20	3.176385
1986-08-21	3.181794
1986-08-22	3.201626
1986-08-25	3.179673
1986-08-26	3.206080
1986-08-27	3.224427
1986-08-28	3.224957
1986-08-29	3.217640
1986-09-02	3.167583
1986-09-03	3.177764
1986-09-04	3.211171
1986-09-05	3.174582
1986-09-08	3.108406
1986-09-09	3.091649
1986-09-10	3.070015
1986-09-11	2.936812
1986-09-12	2.864166
1986-09-15	2.862151
1986-09-16	2.867878
1986-09-17	2.892906
1986-09-18	2.929919
1986-09-19	2.936706
1986-09-22	2.972022
1986-09-23	2.960250
1986-09-24	2.953250
1986-09-25	2.918889
1986-09-26	2.918253
1986-09-29	2.874771
1986-09-30	2.916344
1986-10-01	2.932676
1986-10-02	2.931722
1986-10-03	2.938827
1986-10-06	2.950705
1986-10-07	2.932464
1986-10-08	2.953887
1986-10-09	2.951766
1986-10-10	2.966719
1986-10-13	2.983794
1986-10-14	2.989945
1986-10-15	3.014019
1986-10-16	3.009776
1986-10-17	2.994823
1986-10-20	2.971598
1986-10-21	2.967886
1986-10-22	2.975840
1986-10-23	3.015079
1986-10-24	3.011155
1986-10-27	3.006807
1986-10-28	3.022397
1986-10-29	3.035866
1986-10-30	3.070863
1986-10-31	3.064500
1986-11-03	3.071499
1986-11-04	3.095997
1986-11-05	3.100557
1986-11-06	3.084226
1986-11-07	3.073620
1986-11-10	3.060576
1986-11-11	3.082953
1986-11-12	3.087831
1986-11-13	3.041910
1986-11-14	3.043820
1986-11-17	3.037244
1986-11-18	2.983476
1986-11-19	2.959826
1986-11-20	2.997262
1986-11-21	3.030987
1986-11-24	3.064818
1986-11-25	3.091861
1986-11-26	3.115193
1986-11-28	3.137888
1986-12-01	3.114875
1986-12-02	3.157508
1986-12-03	3.183279
1986-12-04	3.181158
1986-12-05	3.161326
1986-12-08	3.135873
1986-12-09	3.115087
1986-12-10	3.116996
1986-12-11	3.098437
1986-12-12	3.075105
1986-12-15	3.055909
1986-12-16	3.064712
1986-12-17	3.034063
1986-12-18	3.030032
1986-12-19	3.049440
1986-12-22	3.056122
1986-12-23	3.028972
1986-12-24	3.028760
1986-12-26	3.031729
1986-12-29	3.001610
1986-12-30	3.001822
1986-12-31	2.999277
1987-01-02	3.030139
1987-01-05	3.126541
1987-01-06	3.161644
1987-01-07	3.244683
1987-01-08	3.302270
1987-01-09	3.329844
1987-01-12	3.378946
1987-01-13	3.385627
1987-01-14	3.450108
1987-01-15	3.481605
1987-01-16	3.447032
1987-01-19	3.530602
1987-01-20	3.531980
1987-01-21	3.484044
1987-01-22	3.562205
1987-01-23	3.537177
1987-01-26	3.481499
1987-01-27	3.534844
1987-01-28	3.555418
1987-01-29	3.515436
1987-01-30	3.535268
1987-02-02	3.612262
1987-02-03	3.638775
1987-02-04	3.680030
1987-02-05	3.704104
1987-02-06	3.703998
1987-02-09	3.682681
1987-02-10	3.655107
1987-02-11	3.732632
1987-02-12	3.738677
1987-02-13	3.798067
1987-02-17	3.895317
1987-02-18	3.843563
1987-02-19	3.815141
1987-02-20	3.790006
1987-02-23	3.769220
1987-02-24	3.795415
1987-02-25	3.838473
1987-02-26	3.864243
1987-02-27	3.876227
1987-03-02	3.840488
1987-03-03	3.829882
1987-03-04	3.887363
1987-03-05	3.916952
1987-03-06	3.908786
1987-03-09	3.870395
1987-03-10	3.912603
1987-03-11	3.930526
1987-03-12	3.919073
1987-03-13	3.885030
1987-03-16	3.875803
1987-03-17	3.943040
1987-03-18	3.946116
1987-03-19	3.986734
1987-03-20	4.026292
1987-03-23	4.017277
1987-03-24	4.033822
1987-03-25	4.034140
1987-03-26	4.044957
1987-03-27	4.009854
1987-03-30	3.899241
1987-03-31	3.946010
1987-04-01	3.946752
1987-04-02	3.980371
1987-04-03	4.058850
1987-04-06	4.049411
1987-04-07	3.975599
1987-04-08	4.014732
1987-04-09	4.003066
1987-04-10	3.993628
1987-04-13	3.901574
1987-04-14	3.812066
1987-04-15	3.870076
1987-04-16	3.897332
1987-04-20	3.862971
1987-04-21	3.916209
1987-04-22	3.901786
1987-04-23	3.897862
1987-04-24	3.825852
1987-04-27	3.808354
1987-04-28	3.844730
1987-04-29	3.864986
1987-04-30	3.920345
1987-05-01	3.941556
1987-05-04	3.954706
1987-05-05	4.024383
1987-05-06	4.015050
1987-05-07	4.030322
1987-05-08	4.037640
1987-05-11	4.013884
1987-05-12	4.008263
1987-05-13	4.036261
1987-05-14	4.045700
1987-05-15	3.985674
1987-05-18	3.933602
1987-05-19	3.848972
1987-05-20	3.853956
1987-05-21	3.874318
